"Course Code","Course Name","Keyword","Keyword Type ID","Keyword Type"
"ITEM-2179","AAW23 Day 5: Meet and Greet","accessibility","1032","All"
"ITEM-2179","AAW23 Day 5: Meet and Greet","autism","1032","All"
"ITEM-2179","AAW23 Day 5: Meet and Greet","week","1032","All"
"ITEM-2424","AccessAbility Week 2024: Accessibility-Driven AI","D and I","1022","Diversity"
"ITEM-2424","AccessAbility Week 2024: Accessibility-Driven AI","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2424","AccessAbility Week 2024: Accessibility-Driven AI","Inclusion","1022","Diversity"
"ITEM-2424","AccessAbility Week 2024: Accessibility-Driven AI","accessibility","1032","All"
"ITEM-2424","AccessAbility Week 2024: Accessibility-Driven AI","respect","1022","Diversity"
"ITEM-2423","AccessAbility Week 2024: Lived Experience Panel, featuring Parliamentary Secretary for Accessibility, Susie Chant","D and I","1022","Diversity"
"ITEM-2423","AccessAbility Week 2024: Lived Experience Panel, featuring Parliamentary Secretary for Accessibility, Susie Chant","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2423","AccessAbility Week 2024: Lived Experience Panel, featuring Parliamentary Secretary for Accessibility, Susie Chant","Inclusion","1022","Diversity"
"ITEM-2423","AccessAbility Week 2024: Lived Experience Panel, featuring Parliamentary Secretary for Accessibility, Susie Chant","respect","1022","Diversity"
"ITEM-2426","AccessAbility Week 2024: Unlocking Inclusivity: Digital Accessibility in the Workplace","D and I","1022","Diversity"
"ITEM-2426","AccessAbility Week 2024: Unlocking Inclusivity: Digital Accessibility in the Workplace","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2426","AccessAbility Week 2024: Unlocking Inclusivity: Digital Accessibility in the Workplace","Inclusion","1022","Diversity"
"ITEM-2426","AccessAbility Week 2024: Unlocking Inclusivity: Digital Accessibility in the Workplace","respect","1022","Diversity"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","Workplace Health and Safety","1039","Learning Partner"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","aboriginal","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","accessibility","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","ally","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","allyship","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","anti-racism","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","bcpsbelonging","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","bias","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","briw","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","bullying","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","diversity","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","edi","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","equality","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","equity","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","gba","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","gender","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","healing","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","hoil","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","humility","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","inclusion","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","inclusive","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","indigenous","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","lgbt","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","lgbtq","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","lgbtq2s+","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","racism","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","reconciliation","1032","All"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","village","1032","All"
"ITEM-2203","Advanced Certified Scrum Master","Advanced","1005","Continuous Improvement"
"ITEM-2203","Advanced Certified Scrum Master","Digital Academy","1039","Learning Partner"
"ITEM-2203","Advanced Certified Scrum Master","Management","1005","Continuous Improvement"
"ITEM-2203","Advanced Certified Scrum Master","Project","1005","Continuous Improvement"
"ITEM-2203","Advanced Certified Scrum Master","Project Management","1013","Project Management"
"ITEM-2371","Agile Fundamentals eLearning","Foundations","1013","Project Management"
"ITEM-2371","Agile Fundamentals eLearning","Improvement","1005","Continuous Improvement"
"ITEM-2371","Agile Fundamentals eLearning","Organizational","1004","Change Management"
"ITEM-2371","Agile Fundamentals eLearning","Strategy","1004","Change Management"
"ITEM-2371","Agile Fundamentals eLearning","digital","1032","All"
"ITEM-2301","Allyship for Executives - Restricted to Corporate Executive","Executive Talent Programs","1039","Learning Partner"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","#mandatorybcps","1032","All"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Annual","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Conduct","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Conflict of interest","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Culture","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Ethics","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Mandatory","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","OOE","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Oath","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Oath of Employment","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","PSA Corporate Learning Branch","1039","Learning Partner"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Review","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","SoC","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Standards","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Standards of Conduct","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Training","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Values","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","Workplace","1002","Workplace Culture"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","mandatorybcps","1032","All"
"ITEM-2002","Anti-Racism Training for Executives","Executive Talent Programs","1039","Learning Partner"
"ITEM-2602","Anti-Racism in the British Columbia Public Service","Black","1022","Diversity"
"ITEM-2602","Anti-Racism in the British Columbia Public Service","Discrimination","1002","Workplace Culture"
"ITEM-2602","Anti-Racism in the British Columbia Public Service","Marginalized","1022","Diversity"
"ITEM-2602","Anti-Racism in the British Columbia Public Service","race","1022","Diversity"
"ITEM-2427","Attending an Appeal Hearing as a Ministry Representative","Development","1003","Career Development"
"ITEM-2427","Attending an Appeal Hearing as a Ministry Representative","Policy","1023","Policy"
"ITEM-2427","Attending an Appeal Hearing as a Ministry Representative","Policy and Regulation","1049","Topics"
"ITEM-2427","Attending an Appeal Hearing as a Ministry Representative","Skills","1005","Continuous Improvement"
"ITEM-1275","BC Public Service Restart Strategy: All Staff Orientation","Change","1015","Health and Well-Being"
"ITEM-1275","BC Public Service Restart Strategy: All Staff Orientation","Management","1005","Continuous Improvement"
"ITEM-1275","BC Public Service Restart Strategy: All Staff Orientation","Responsibilities","1008","Labour Relations"
"ITEM-1275","BC Public Service Restart Strategy: All Staff Orientation","Workplace Health and Safety","1039","Learning Partner"
"ITEM-997","Bargaining Unit Benefits Program Overview","Benefits Design and Programs","1039","Learning Partner"
"ITEM-1836","Behavioural Insights (BI) Basics - An Overview of Behavioural Insights","Behavioural Insights","1039","Learning Partner"
"ITEM-1856","Behavioural Insights (BI) Beyond Basics","Behavioural Insights","1039","Learning Partner"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","BCIP","1007","Information and Privacy"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","IM117","1007","Information and Privacy"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","Information","1007","Information and Privacy"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","Privacy","1007","Information and Privacy"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","Records","1007","Information and Privacy"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","information","1032","All"
"ITEM-819","British Columbia Information Privacy Certificate (BCIP)","management","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","Aboriginal","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","BCAR","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","BCIR","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","House of Indigenous Learning","1039","Learning Partner"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","Indigenous","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","Inuit","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","Metis","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","aboriginal","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","accessibility","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","ally","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","allyship","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","anti-racism","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","bcpsbelonging","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","bias","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","briw","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","bullying","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","diversity","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","edi","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","equality","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","equity","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","first","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","gba","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","gender","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","healing","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","hoil","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","humility","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","inclusion","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","inclusive","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","indigenous","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","lgbt","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","lgbtq","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","lgbtq2s+","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","nations","1022","Diversity"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","racism","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","reconciliation","1032","All"
"ITEM-5","Building Capacity in Indigenous Relations: We are all here to stay","village","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","Diversity","1002","Workplace Culture"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","Inclusion","1022","Diversity"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","PSA Corporate Learning Branch","1039","Learning Partner"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","Respect","1002","Workplace Culture"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","aboriginal","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","accessibility","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","ally","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","allyship","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","anti-racism","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","bcpsbelonging","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","bias","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","briw","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","bullying","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","diversity","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","edi","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","equality","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","equity","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","gba","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","gender","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","healing","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","hoil","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","humility","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","inclusion","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","inclusive","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","indigenous","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","lgbt","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","lgbtq","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","lgbtq2s+","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","racism","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","reconciliation","1032","All"
"ITEM-2014","Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","village","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","Communications","1011","Performance"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","Inclusion","1022","Diversity"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","PSA Corporate Learning Branch","1039","Learning Partner"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","aboriginal","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","accessibility","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","ally","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","allyship","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","anti-racism","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","bcpsbelonging","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","bias","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","briw","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","bullying","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","diversity","1022","Diversity"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","diversity","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","edi","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","equality","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","equity","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","gba","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","gender","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","healing","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","hoil","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","humility","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","inclusion","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","inclusive","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","indigenous","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","lgbt","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","lgbtq","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","lgbtq2s+","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","racism","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","reconciliation","1032","All"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","respect","1022","Diversity"
"ITEM-2015","Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","village","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","Diversity","1002","Workplace Culture"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","Inclusion","1022","Diversity"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","PSA Corporate Learning Branch","1039","Learning Partner"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","aboriginal","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","accessibility","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","ally","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","allyship","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","anti-racism","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","bcpsbelonging","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","bias","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","briw","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","bullying","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","diversity","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","edi","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","equality","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","equity","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","gba","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","gender","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","healing","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","hoil","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","humility","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","inclusion","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","inclusive","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","indigenous","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","lgbt","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","lgbtq","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","lgbtq2s+","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","racism","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","reconciliation","1032","All"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","respect","1022","Diversity"
"ITEM-2016","Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","village","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","Diversity","1002","Workplace Culture"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","PSA Corporate Learning Branch","1039","Learning Partner"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","aboriginal","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","accessibility","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","ally","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","allyship","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","anti-racism","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","bcpsbelonging","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","bias","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","briw","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","bullying","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","diversity","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","edi","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","equality","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","equity","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","gba","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","gender","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","healing","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","hoil","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","humility","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","inclusion","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","inclusive","1022","Diversity"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","inclusive","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","indigenous","1032","All"
"ITEM-2017","Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","lgbt","1032","All"
