"Course Code","Course Name","Course Description","Delivery Method",Category,"Learner Group",Duration,"Available Classes","Link to ELM Search","Course Last Modified","Course Owner Org","Course ID",Keywords,Group,Audience,Topic
ITEM-1192,"CMS Lite Introductory Training","This training is employees working in CMS Lite. You will have 1 week to complete the self-directed training and submit the written assignment portion for grading in order to get a CMS Lite Licence.",Webinar,,"All Government of British Columbia Learners","Not Listed",4,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1192-""","2024/11/21  4:08:44PM","Government Digital Experience",18475,"CMS lite, GDX, Government Digital Experience, Information, accessibility, content, web, webpage",Core,,"IT and Digital"
ITEM-1218,"Cabinet Submissions and Decision-Making (Restricted to Senior Leaders - Bands 4-6)","This 3-hour workshop for senior leaders will provide information and insights into the structure and flow of Cabinet submissions, deepening understanding of the processes of planning, drafting and presenting a Cabinet submission.",Webinar,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1218-""","2024/08/16  2:29:14PM","PSA Corporate Learning Branch",18501,"Cabinet, Leadership, PSA Corporate Learning Branch, leading, organization",Complementary,"Senior Leaders","Finance and Accounting"
ITEM-2013,"Certified Service Manager Being an Inclusive Leader","This module is designed to help you learn more about one of the most important leaders in your organization - you! The module focuses on your role as a leader whether formally or informally.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2013-""","2023/12/16  5:20:30PM","Service BC",19257,"Culture, Leadership, Service BC, Support",Complementary,"People Leaders",Leadership
ITEM-2139,"Certified Service Manager Building A Service Culture","Individuals who take this course can expect to acquire an understanding of what effective leadership look like and how to use these practices to create a culture of service excellence.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2139-""","2023/12/14  3:48:00PM","Service BC",19383,"Culture, Leadership, Managing, Service BC, Support",Complementary,"All Employees","Being a Public Service Employee"
ITEM-1753,"Certified Service Manager Citizen-Centric Service Design","Learn about delivering better services designed for the user. This course will teach you design philosophies and techniques but the lessons offered speak to the public-sector context. An arena which poses a unique set of opportunities and challenges.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1753-""","2023/12/14  3:18:02PM","Service BC",18999,"Service BC",Core,"All Employees","Being a Public Service Employee"
ITEM-1754,"Certified Service Manager Continuous Service Improvement","This course provides an overview of Service Improvement. It discusses the use of tools and the Service Improvement Planning and Implementation Model, addressed Service Transformation and creating service standards.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1754-""","2023/12/18  5:41:54AM","Service BC",19000,"Service BC",Complementary,"People Leaders","Being a Public Service Employee"
ITEM-2138,"Certified Service Manager Effective Service Delivery Management","Delivering public sector service is unique in its requirements to balance public expectations while maintaining fiscal responsibility. Managing public sector services is about more than setting schedules and approving expenses.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2138-""","2024/08/07 10:08:25AM","Service BC",19382,"Manage, Managing, Performance, Service BC",Complementary,"People Leaders",Leadership
ITEM-1750,"Certified Service Professional Becoming Citizen-Centric","Shift the way you think about service delivery whether you provide internal or external service in the public sector. Discover what a best in class service experience looks like from a citizens and businesses perspective.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1750-""","2023/12/18  5:40:32AM","Service BC",18996,"Service BC",Complementary,"All Employees","Being a Public Service Employee"
ITEM-1752,"Certified Service Professional Listening to and Understanding Citizens","Understand what citizens are saying about service delivery across the public service in Canada. Learn about existing surveys that are provided. This is what outside-in listening looks like and how you can do the same for your organization.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1752-""","2023/12/18  5:39:57AM","Service BC",18998,"Service BC",Complementary,"All Employees","Being a Public Service Employee"
ITEM-1751,"Certified Service Professional Public Service Delivery Fundamentals","The fundamentals of service delivery and being citizen-centred. Learn the skills you need in order to provide good service. What does good service access looks like and how we can help our service recipients navigate the complex services we provide?",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1751-""","2023/12/18  5:39:09AM","Service BC",18997,"Service BC",Core,"All Employees","Being a Public Service Employee"
ITEM-2088,"Change Management Foundations","This course introduces change management, how change impacts people and how change management practices can help people transition through change. Available in self-paced and blended webinar formats.","Blended Format",,"All Government of British Columbia Learners","Not Listed",3,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2088-""","2024/06/07  4:10:19PM","PSA Corporate Learning Branch",19332,"PSA Corporate Learning Branch",Core,"All Employees","Project Management"
ITEM-2529,"Classification Basics for Excluded Managers (Restricted to Excluded Managers)","The Classification and Exclusion Services team presents Classification Basics, a half-hour webinar aimed at providing excluded managers with an overview of the purpose and process of classification in the BC Public Service.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2529-""","2024/11/21  4:05:42PM","PSA Corporate Learning Branch",19766,"PSA Corporate Learning Branch, People Leaders",,"All Employees",Leadership
ITEM-2381,"Climate Insights","This course is a self-paced online introductory course on climate change for BC. Increase your awareness of climate change and the different perspectives of those affected, including yourself.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2381-""","2024/04/26  1:26:53PM","PSA Corporate Learning Branch",19620,"PSA Corporate Learning Branch",Core,"All Employees","Being a Public Service Employee"
ITEM-1884,"Coaching 101: Coaching Approach to Conversations Essentials","This 1 day virtually delivered course for leaders at all levels introduces foundational skills and practices for successful coaching conversations toward achieving desired results. It is a prerequisite for all coaching courses.",Webinar,,"All Government of British Columbia Learners","Not Listed",5,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1884-""","2025/04/04 12:21:27PM","Coaching Services",19129,"Coaching Services, Supervisor, flexible work, hybrid, virtual environment",Core,"All Employees",Leadership
ITEM-2528,"Coaching: Feedback to Feedforward","This half-day virtually delivered course for leaders at all levels provides the opportunity to learn a coaching approach to feedback and feedforward. Coaching 101 is a pre-requisite for this course. Pre-work is minimal.",Webinar,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2528-""","2025/04/04 12:24:29PM","Coaching Services",19765,"Coaching Services, Leadership, Performance, communications",Core,"All Employees",Leadership
ITEM-2115,"Coaching: Goal Setting","This half day virtually delivered course for leaders at all levels builds on the foundational skills and practices for successful coaching conversations with a focus on the elements of goal setting.",Webinar,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2115-""","2024/11/14  1:13:29PM","Coaching Services",19359,"Coaching Services",Core,"All Employees",Leadership
ITEM-1132,"Conflict Management for Leaders (Restricted to Managers and Supervisors)","Learn and practice effective, practical approaches for resolving workplace conflict. You will explore your internal ""conflict awareness"" and develop critical communication tools so that you may conduct conflict resolution conversations with confidence.","Blended Format",,"All Government of British Columbia Learners","Not Listed",5,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1132-""","2023/12/18  5:37:57AM","Conflict Management Office",18415,"Conflict Management Office",Complementary,"People Leaders",Leadership
ITEM-1420,"Conflict Management for Senior Leaders 1/2 Day (Restricted to Senior Leaders - Bands 4-6)","This 3.5-hour virtual workshop supports creating a ""conflict-competent"" culture by expanding your conflict management knowledge, skills and abilities.",Webinar,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1420-""","2024/08/15  2:35:07PM","PSA Corporate Learning Branch",18703,"Communication, Development, Leader, Leadership, PSA Corporate Learning Branch, diversity, leading, others, teams",Core,"Senior Leaders","Communication and Facilitation"
ITEM-1300,"Conflicts of Interest for Employees","This course covers three types of conflict of interest under the Standards of Conduct and how BC Public Service employees can address them.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1300-""","2024/03/21  1:18:46PM","Corporate Ethics Program",18583,"Corporate Ethics Program",Core,"All Employees","Ethics and Integrity"
ITEM-1395,"Digital Recordkeeping: Developing Organizational Excellence","Looking to improve your organization's shared digital spaces? This course covers the use of LANs and collaboration tools like SharePoint and MS teams, and information about planning and completing a shared drive organization project. Records Management.",eLearning,,"Ministries - All","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1395-""","2023/12/18  5:26:36AM","Corporate Information and Records Management Office",18678,"CIRMO, cirmo, digital, documenting, documents, grs, information, information management, lan, organization, recordkeeping, records, reorganization, schedules, system",Complementary,"All Employees","Information Management"
ITEM-1213,"Diversity and Inclusion Essentials","This mandatory eLearning course should take between 15-25 minutes to complete and is designed for everyone in the BC Public Service.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1213-""","2023/12/14  5:45:51PM","Diversity and Inclusion",18496,"#bcpsbelonging, #mandatorybcps, Diversity and Inclusion, LGBTQ, LGBTQ2, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, mandatorybcps, racism, reconciliation, village",Mandatory,"All Employees","Equity, Diversity and Inclusion"
ITEM-1019,"EDRMS Content Manager End User","This series of eLearning modules is designed to give you relevant information and practical skills in order to use EDRMS Content Manager to manage electronic records. It covers searching, shortcuts, email and document management.",eLearning,,"Ministries - All","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1019-""","2023/12/18  6:10:07AM","Corporate Information and Records Management Office",18302,"CIRMO, cirmo, content, digital, documents, edrms, grs, information, information management, manager, recordkeeping, records, schedules, system",Core,"All Employees","Information Management"
ITEM-1280,"EDRMS Content Manager Implementation","This course is intended for prospective clients and those interested in implementing EDRMS Content Manager as their formal records management system.",eLearning,,"Ministries - All","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1280-""","2024/03/21 11:49:49AM","Corporate Information and Records Management Office",18563,"CIRMO, cirmo, content, digital, edrms, grs, information, information management, manager, organization, recordkeeping, records, reorganization, schedules, system",Core,"All Employees","Information Management"
ITEM-1020,"EDRMS Content Manager Information Worker","The EDRMS Content Manager Information Worker eLearning series builds off of the EDRMS Content Manager End User modules to cover additional configuration, creating and maintaining folders and printing labels and reports. A record management course.",eLearning,,"Ministries - All","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1020-""","2024/03/21 11:50:04AM","Corporate Information and Records Management Office",18303,"CIRMO, cirmo, content, digital, documents, edrms, grs, information, information management, manager, recordkeeping, records, schedules, system",Core,"All Employees","Information Management"
ITEM-1288,"EDRMS Disposition Processes","This course is a continuation from EDRMS Content Manager End User and Information Worker and covers disposition processes for completing the transfer of physical folders to offsite storage and the onsite destruction of applicable records.",eLearning,,"Ministries - All","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1288-""","2024/03/21 11:50:33AM","Corporate Information and Records Management Office",18571,"CIRMO, cirmo, content, destructions, digital, documents, edrms, grs, information, information management, manager, recordkeeping, records, schedules, system",Core,"All Employees","Information Management"
ITEM-1115,"Early Intervention and Return to Work eSeries 1: Introduction","This course introduces the Early Intervention and Return to Work series with a brief video message from Dr. William Lakey, Medical Director of the Workplace Health and Safety Branch of the BC Public Service Agency.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1115-""","2023/12/18  6:12:58AM","Workplace Health and Safety",18398,"Conflict, Mental Health, Stress, Workplace Health and Safety, disability, gradual, leave, return to work, sick",Core,"People Leaders","Human Resources Management"
ITEM-1116,"Early Intervention and Return to Work eSeries 2: Assisting an Employee with a Health Issue at Work","This course provides information on how to assist an employee who seems to be struggling with a health issue that's impacting them at work in order to help them stay at work rather than be absent.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1116-""","2023/12/18  6:13:38AM","Workplace Health and Safety",18399,"Conflict, Mental Health, Stress, Workplace Health and Safety, disability, gradual, leave, return to work, sick",Core,"People Leaders","Human Resources Management"
ITEM-1117,"Early Intervention and Return to Work eSeries 3: My Employee is Absent, What Do I Do?","This course helps supervisors understand what to do when they find out their employee is absent, including how to keep communications open with the employee and how to determine if there's an opportunity for an early return to work.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1117-""","2023/12/18  6:14:20AM","Workplace Health and Safety",18400,"Conflict, Mental Health, Stress, Workplace Health and Safety, disability, gradual, leave, return to work, sick",Core,"People Leaders","Human Resources Management"
ITEM-1118,"Early Intervention and Return to Work eSeries 4: Doctor&#039;s Certificate Form","This course helps supervisors understand what the form is, when it's required, how to complete it, and how to submit it.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1118-""","2023/12/18  6:14:51AM","Workplace Health and Safety",18401,"Conflict, Mental Health, Stress, Workplace Health and Safety, disability, gradual, leave, return to work, sick",Core,"People Leaders","Human Resources Management"
ITEM-1119,"Early Intervention and Return to Work eSeries 5: What&#039;s STIIP and the Supervisor&#039;s Role?","This course provides information about STIIP and the supervisor's role during that period.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1119-""","2023/12/18  6:15:21AM","Workplace Health and Safety",18402,"Conflict, Mental Health, Stress, Workplace Health and Safety, disability, gradual, leave, return to work, sick",Core,"People Leaders","Human Resources Management"
